Batch_ID,Product_Type,Production_Line,Machine_ID,Workers_Assigned,Raw_Material_Quantity,Batch_Size,Production_Priority,Quality_Check_Level,Machine_Load,Temperature_Control,Shift,Processing_Time,Worker_Wage_Rate_INR_per_Min,Machine_Usage_Rate_INR_per_Min,Raw_Material_Cost_INR,Batch_Cost_INR,Production_Timestamp
B2000,OncoDrug_B,Line_2,M5,5,241.62,166,Low,Strict,0.83,Controlled_Adjustment,Morning,77.22,3.43,13.83,27097.22,29491.04,01/01/2024 00:00
B2001,OncoDrug_D,Line_2,M5,6,182.19,190,Low,Standard,0.41,Controlled_Adjustment,Night,69.1,2.02,14.05,25191.53,26998.49,01/01/2024 02:00
B2002,OncoDrug_D,Line_3,M4,7,80.13,80,High,Critical,0.74,Stable,Morning,44.09,2.68,16.25,11872.65,13417.27,01/01/2024 04:00
B2003,OncoDrug_C,Line_3,M3,7,95.4,110,Medium,Standard,0.61,Stable,Morning,39.12,3.05,16.73,7942.45,9432.27,01/01/2024 06:00
B2004,OncoDrug_C,Line_3,M5,4,195.65,132,Low,Strict,0.44,Minor_Fluctuation,Night,58.26,2.87,13.98,18953.19,20435.9,01/01/2024 08:00
B2005,OncoDrug_B,Line_3,M2,5,100.75,67,High,Standard,0.42,Stable,Evening,28.8,3.28,9.67,9884.7,10635.9,01/01/2024 10:00
B2006,OncoDrug_B,Line_4,M2,5,132.99,193,Low,Strict,0.51,Controlled_Adjustment,Morning,71.29,2.28,17.58,19385.41,21452.82,01/01/2024 12:00
B2007,OncoDrug_A,Line_4,M4,7,237.53,154,High,Critical,0.91,Controlled_Adjustment,Morning,75.9,3.18,16.02,22261.21,25168.18,01/01/2024 14:00
B2008,OncoDrug_D,Line_4,M2,2,243.4,141,Low,Strict,0.7,Controlled_Adjustment,Night,76.49,2.98,14.65,24174.4,25751.37,01/01/2024 16:00
B2009,OncoDrug_C,Line_1,M5,6,216.37,124,High,Strict,0.41,Controlled_Adjustment,Morning,47.34,2.13,14.05,23290.81,24561.89,01/01/2024 18:00
B2010,OncoDrug_B,Line_3,M1,4,113.8,195,Low,Critical,0.8,Minor_Fluctuation,Night,91.32,2.1,11.67,14069.59,15902.08,01/01/2024 20:00
B2011,OncoDrug_D,Line_1,M1,3,96.22,121,Medium,Standard,0.58,Stable,Morning,43.02,3.63,19.72,11991.77,13308.9,01/01/2024 22:00
B2012,OncoDrug_D,Line_2,M2,4,175.41,160,Low,Strict,0.93,Controlled_Adjustment,Morning,79.67,2.22,14.87,22759.0,24649.83,02/01/2024 00:00
B2013,OncoDrug_D,Line_2,M5,3,84.32,122,High,Critical,0.89,Minor_Fluctuation,Morning,62.65,2.85,9.92,10850.98,12007.91,02/01/2024 02:00
B2014,OncoDrug_C,Line_4,M4,6,122.38,88,Low,Strict,0.53,Controlled_Adjustment,Evening,44.89,3.42,17.95,15138.95,16864.97,02/01/2024 04:00
B2015,OncoDrug_B,Line_3,M3,7,187.68,193,High,Strict,0.65,Controlled_Adjustment,Evening,63.32,2.72,13.98,26740.29,28829.85,02/01/2024 06:00
B2016,OncoDrug_D,Line_3,M2,4,135.14,151,Low,Strict,0.6,Controlled_Adjustment,Evening,64.32,2.43,18.87,18549.27,20388.82,02/01/2024 08:00
B2017,OncoDrug_A,Line_3,M4,2,131.81,196,Low,Critical,0.67,Controlled_Adjustment,Evening,96.71,3.6,12.22,13660.17,15537.95,02/01/2024 10:00
B2018,OncoDrug_D,Line_3,M5,4,134.94,155,Low,Critical,0.71,Controlled_Adjustment,Morning,78.87,2.95,17.72,13127.58,15455.56,02/01/2024 12:00
B2019,OncoDrug_A,Line_4,M2,3,201.09,160,High,Standard,0.56,Stable,Evening,50.49,3.33,19.97,24667.12,26180.14,02/01/2024 14:00
B2020,OncoDrug_C,Line_4,M4,3,149.88,146,Low,Critical,0.55,Minor_Fluctuation,Morning,75.2,2.02,9.2,17125.12,18271.92,02/01/2024 16:00
B2021,OncoDrug_A,Line_4,M4,7,121.15,127,High,Critical,0.44,Stable,Night,51.55,2.92,10.37,11745.58,13332.46,02/01/2024 18:00
B2022,OncoDrug_C,Line_3,M5,7,142.52,175,Medium,Standard,0.94,Controlled_Adjustment,Morning,66.01,2.25,18.47,12905.5,15164.14,02/01/2024 20:00
B2023,OncoDrug_C,Line_2,M5,4,111.71,152,Low,Critical,0.87,Minor_Fluctuation,Morning,81.82,2.97,15.03,14497.54,16698.49,02/01/2024 22:00
B2024,OncoDrug_C,Line_4,M3,4,139.27,111,Low,Standard,0.92,Controlled_Adjustment,Morning,56.35,2.0,16.2,13180.12,14543.79,03/01/2024 00:00
B2025,OncoDrug_B,Line_3,M3,7,198.28,66,Low,Standard,0.76,Minor_Fluctuation,Evening,36.31,3.48,18.72,23568.76,25133.72,03/01/2024 02:00
B2026,OncoDrug_D,Line_3,M4,5,124.34,188,Medium,Standard,0.45,Controlled_Adjustment,Night,50.5,3.63,19.3,16265.9,18157.97,03/01/2024 04:00
B2027,OncoDrug_A,Line_3,M4,4,225.58,113,High,Strict,0.83,Minor_Fluctuation,Morning,58.41,2.38,18.78,19374.6,21028.58,03/01/2024 06:00
B2028,OncoDrug_B,Line_1,M5,5,232.75,143,High,Strict,0.72,Stable,Evening,60.32,2.4,13.95,26532.34,28097.65,03/01/2024 08:00
B2029,OncoDrug_B,Line_3,M2,4,190.83,127,High,Strict,0.53,Minor_Fluctuation,Evening,49.23,2.33,16.72,23944.69,25227.13,03/01/2024 10:00
B2030,OncoDrug_B,Line_4,M3,4,191.79,92,High,Strict,0.7,Minor_Fluctuation,Evening,52.87,2.35,19.48,28406.78,29933.84,03/01/2024 12:00
B2031,OncoDrug_C,Line_3,M5,6,162.75,67,High,Critical,0.75,Stable,Night,46.86,3.62,12.93,18745.85,20368.77,03/01/2024 14:00
B2032,OncoDrug_A,Line_2,M3,5,193.72,120,Low,Critical,0.67,Controlled_Adjustment,Night,77.33,2.27,11.18,28250.17,29991.38,03/01/2024 16:00
B2033,OncoDrug_A,Line_4,M4,6,127.53,65,Low,Standard,0.6,Stable,Morning,37.54,2.6,12.98,13154.55,14227.57,03/01/2024 18:00
B2034,OncoDrug_B,Line_2,M1,7,244.33,158,Medium,Strict,0.94,Minor_Fluctuation,Evening,73.0,2.52,11.0,24966.88,27055.9,03/01/2024 20:00
B2035,OncoDrug_D,Line_1,M3,3,174.66,113,Medium,Strict,0.78,Minor_Fluctuation,Morning,56.38,2.75,18.75,21491.54,23013.8,03/01/2024 22:00
B2036,OncoDrug_B,Line_1,M1,7,140.97,186,Medium,Critical,0.69,Stable,Morning,81.37,2.53,14.87,18209.64,20862.3,04/01/2024 00:00
B2037,OncoDrug_C,Line_3,M1,6,130.41,85,Low,Critical,0.85,Stable,Evening,64.33,2.4,15.12,18769.03,20667.83,04/01/2024 02:00
B2038,OncoDrug_A,Line_1,M4,3,80.88,95,Low,Strict,0.84,Minor_Fluctuation,Evening,58.61,2.25,19.22,11509.46,13031.36,04/01/2024 04:00
B2039,OncoDrug_D,Line_3,M1,5,178.41,91,Medium,Strict,0.72,Controlled_Adjustment,Night,53.01,3.42,9.17,20087.18,21478.69,04/01/2024 06:00
B2040,OncoDrug_C,Line_1,M1,7,128.71,117,High,Strict,0.87,Controlled_Adjustment,Morning,51.43,3.6,12.72,17234.48,19184.53,04/01/2024 08:00
B2041,OncoDrug_C,Line_2,M5,5,244.09,162,Low,Strict,0.45,Controlled_Adjustment,Evening,64.7,3.58,14.15,28764.99,30839.7,04/01/2024 10:00
B2042,OncoDrug_B,Line_2,M5,5,102.57,173,Medium,Critical,0.68,Controlled_Adjustment,Morning,77.84,3.03,18.38,13547.32,16158.85,04/01/2024 12:00
B2043,OncoDrug_C,Line_2,M2,3,84.31,176,Low,Standard,0.44,Stable,Evening,54.82,2.13,19.0,7767.5,9159.92,04/01/2024 14:00
